date,code,open,high,low,close,volume,pctChg
20190628,sh.601698,3.2600,3.9200,3.2600,3.9200,236595,44.117650
20190701,sh.601698,4.3100,4.3100,4.3100,4.3100,170867,9.948977
20190702,sh.601698,4.7400,4.7400,4.7400,4.7400,162136,9.976794
20190703,sh.601698,5.2100,5.2100,5.2100,5.2100,404148,9.915618
20190704,sh.601698,5.7300,5.7300,5.7300,5.7300,553125,9.980806
20190705,sh.601698,6.3000,6.3000,6.3000,6.3000,910003,9.947647
20190708,sh.601698,6.9300,6.9300,6.9300,6.9300,1436196,9.999994
20190709,sh.601698,7.6200,7.6200,7.6200,7.6200,1803002,9.956711
20190710,sh.601698,8.3800,8.3800,8.3800,8.3800,1762684,9.973756
20190711,sh.601698,9.2200,9.2200,9.2200,9.2200,1086550,10.023870
20190712,sh.601698,10.1400,10.1400,10.1400,10.1400,21911864,9.978309
20190715,sh.601698,11.0000,11.1500,10.7500,11.1500,135431270,9.960545
20190716,sh.601698,12.2700,12.2700,11.9000,12.2700,96127722,10.044850
20190717,sh.601698,12.8800,13.1200,11.6500,11.7300,260239693,-4.400985
20190718,sh.601698,11.6400,12.9000,11.4600,12.9000,257902515,9.974425
20190719,sh.601698,12.2000,12.6200,12.0300,12.3600,169950172,-4.186047
20190722,sh.601698,12.3500,12.6300,11.1200,11.1400,154694689,-9.870544
20190723,sh.601698,10.8300,10.9400,10.3800,10.8100,130883820,-2.962297
20190724,sh.601698,10.6500,11.3700,10.6100,11.1000,133189755,2.682701
20190725,sh.601698,10.9700,11.0200,10.6000,10.7300,99511548,-3.333341
20190726,sh.601698,10.5300,10.9500,10.5200,10.5600,79289100,-1.584300
20190729,sh.601698,10.6600,10.8200,10.5300,10.7500,58006457,1.799238
20190730,sh.601698,10.6600,10.8900,10.5900,10.6900,68892529,-0.558100
20190731,sh.601698,10.6200,10.9800,10.2600,10.8900,110688366,1.870900
20190801,sh.601698,10.7200,10.8100,10.4600,10.5800,69295003,-2.846700
20190802,sh.601698,10.2000,10.8700,10.0800,10.6700,98694427,0.850700
20190805,sh.601698,10.5000,10.8800,10.4500,10.5900,70236452,-0.749800
20190806,sh.601698,10.2800,11.5700,10.2100,11.1100,135558834,4.910300
